idregion,iddistrict,idcouncil,idchiefdom,idsection,idtown
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,KHOLIFA MAMUNTHA/MAYOSSO,MAMUNTHA,MAGBASS (KHOLIFA MAMUNTHA/MAYOSSO)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,KHOLIFA MAMUNTHA/MAYOSSO,MAMUNTHA SECTION,MAGBASS VILLAGE (KHOLIFA MAMUNTHA/MAYOSSO)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,KHOLIFA MAMUNTHA/MAYOSSO,MAMUNTHA SECTION,ROCHAIN (KHOLIFA MAMUNTHA/MAYOSSO)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,KAGBORO,MAMBO,MOKONGBETTY (KAGBORO)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,KAGBORO,MAMBO,MONKONGBETTY (KAGBORO)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,KHOLIFA MAMUNTHA/MAYOSSO,MAMUNTHA SECTION,ROCHIN (KHOLIFA MAMUNTHA/MAYOSSO)
EASTERN,KONO,KOIDU-NEW SEMBEHUN CITY,KOIDU CITY,WOAFEH,MBAOMA II (KOIDU CITY)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,DANSOGOIA,BUMBUNA,BUMBUNA (DANSOGOIA)
EASTERN,KONO,KONO DISTRICT,NIMIYAMA,BAFINFEH,CONDAMA (NIMIYAMA)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,KAIYAMBA,KOMBOYA,MOYAMBA (KAIYAMBA)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,KHOLIFA ROWALA,BO ROAD,MAGBURAKA (KHOLIFA ROWALA)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,YONI MAMAILA,GAINDEMA SECTION,MILE 91 (YONI MAMAILA)
EASTERN,KONO,KONO DISTRICT,NIMIYAMA,NJAGBAKAHUN,NGO TOWN (NIMIYAMA)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,KUNIKE SANDA,MASINGBI,MASINGBI (KUNIKE SANDA)
EASTERN,KONO,KONO DISTRICT,NIMIYAMA,NJAGBAKAHUN,NGO-TOWN (NIMIYAMA)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,KAIYAMBA,MENDEGELEMA,YOYEMA (KAIYAMBA)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,TANE,MATOTOKA,MATOTOKA (TANE)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,KHOLIFA ROWALA,MAKUMP,ROPOLON (KHOLIFA ROWALA)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,FAKUNYA,KOVELLA,NJORPOWAHUN (FAKUNYA)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,FAKUNYA,KOVELLA,MONGERE (FAKUNYA)
EASTERN,KAILAHUN,KAILAHUN DISTRICT,LUAWA,MOFINDOR,BENDUMA (LUAWA)
EASTERN,KAILAHUN,KAILAHUN DISTRICT,LUAWA,MOFINDOR,YENGEMA (LUAWA)
EASTERN,KAILAHUN,KAILAHUN DISTRICT,LUAWA,MOFINDOR,SAMBALU (LUAWA)
